pais_iso_3,nombre_pais,region_geografica
RUS,FEDERACIÓN  DE  RUSIA,EUROPA  CENTRAL  Y  ORIENTAL
PAN,REPÚBLICA  DE  PANAMÁ,AMÉRICA  CENTRAL  Y  CARIBE
PRT,REPÚBLICA  PORTUGUESA,EUROPA  OCCIDENTAL
ESP,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL
BGR,REPÚBLICA  DE  BULGARIA,EUROPA  CENTRAL  Y  ORIENTAL
ISR,ESTADO  DE  ISRAEL,ASIA
JAM,JAMAICA,AMÉRICA  CENTRAL  Y  CARIBE
SUR,REPÚBLICA  DE  SURINAME,AMÉRICA  DEL  SUR
NZL,NUEVA  ZELANDIA,OCEANÍA
FIN,REPÚBLICA  DE  FINLANDIA,EUROPA  OCCIDENTAL
UKR,UCRANIA,EUROPA  CENTRAL  Y  ORIENTAL
PHL,REPÚBLICA  DE  FILIPINAS,ASIA
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR
AGO,REPÚBLICA  DE  ANGOLA,ÁFRICA  SUBSAHARIANA
LCA,SANTA  LUCÍA,AMÉRICA  CENTRAL  Y  CARIBE
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,ASIA
AUT,REPÚBLICA  DE  AUSTRIA,EUROPA  OCCIDENTAL
IRL,IRLANDA,EUROPA  OCCIDENTAL
VEN,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,AMÉRICA  DEL  SUR
GRC,REPÚBLICA  HELÉNICA,EUROPA  OCCIDENTAL
MAR,REINO  DE  MARRUECOS,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
PRY,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR
ARE,EMIRATOS  ÁRABES  UNIDOS,ASIA
SAU,REINO  DE  ARABIA  SAUDITA,ASIA
KOR,REPÚBLICA  DE  COREA,ASIA
IDN,REPÚBLICA  DE  INDONESIA,ASIA
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH,ASIA
SLV,REPÚBLICA  DE  EL  SALVADOR,AMÉRICA  CENTRAL  Y  CARIBE
PSE,ESTADO  DE  PALESTINA,ASIA
VAT,SANTA  SEDE,EUROPA  OCCIDENTAL
ITA,REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL
