sede_id,cantidad_secciones
EEARB,3.0
ESING,4.0
EAUST,5.0
ENICA,1.0
CSCRS,4.0
ELBIA,2.0
ETRIA,11.0
CGUAY,2.0
ECHIN,8.0
EDOMI,3.0
ETAIL,6.0
CASUN,0
CYACU,0
CVILL,0
CROMA,0
REPAL,0
EALEM,10.0
EBARB,7.0
ECOLO,7.0
EIRAN,1.0
ERICA,2.0
CRECI,5.0
ELBNO,5.0
EVIET,4.0
EARME,3.0
EISIA,5.0
ETUNE,7.0
CGTEL,2.0
CHONG,2.0
EUCRA,4.0
CFRAN,4.0
CSLTO,0
CFDIG,0
DIGAC,0
EMFAO,0
CBELO,0
CFLOR,0
CALEG,0
CCEST,0
EEOEA,0
CVIGO,3.0
EITAL,10.0
ECUBA,5.0
EPNMA,4.0
EBRAS,7.0
EFINL,2.0
EGREC,4.0
CURUG,1.0
EARGE,6.0
ENIGE,6.0
CCADI,0
CSBAH,0
CHOUS,0
CLOND,0
CGPAZ,0
CMALD,0
CMDEO,0
ECORE,5.0
EINDI,4.0
ECHES,5.0
EHOND,4.0
EASIR,1.0
ERUNI,12.0
EBELG,5.0
EGUYA,0
CBONN,0
EARAB,0
EUNES,0
ENAUN,0
CLIMA,0
EPARA,0
ERUMA,2.0
ESURI,6.0
EJAPO,6.0
EANGO,6.0
EPAKI,2.0
EAZER,5.0
EECUA,8.0
EESPA,7.0
ESUIZ,5.0
EVENE,5.0
CSIDN,3.0
EPBAJ,4.0
EMEXI,9.0
CRIOJ,4.0
CPMON,0
CFBEN,0
OCCAT,0
CANTO,0
CBEIJ,0
EMSUR,0
CMREA,0
CATLA,0
EBULG,0
EDINA,4.0
EFRUS,13.0
EEGIP,6.0
EKENY,6.0
EMSIA,3.0
EGUAT,3.0
EMARR,5.0
ESSED,6.0
CPABL,1.0
EHAIT,7.0
EHILE,14.0
EISRA,3.0
ENORU,3.0
CSHAN,7.0
CBARC,6.0
EPERU,7.0
ESUEC,4.0
EURUG,4.0
CAREN,0
CMALL,0
CPAYS,0
CGEST,0
CENCA,0
CHAMB,0
CLANG,0
CSIGO,0
CCOCH,0
EBANG,0
CMIAM,8.0
EKUWA,5.0
ETURQ,4.0
CGMUM,3.0
ESALV,5.0
EJAMA,3.0
EQATR,5.0
ESERB,4.0
EIRLA,4.0
CMADR,0
CTENE,0
ESENE,0
CJOHA,0
CCURI,0
EOIRS,0
CGUAN,0
CGVAN,0
CTARI,0
CPCAR,1.0
ECANA,4.0
ECEUR,6.0
ETRIN,1.0
EFRAN,9.0
CMILA,3.0
CNYOR,9.0
EPOLO,3.0
EEEUU,11.0
EETIO,4.0
EMOZA,8.0
CCHIC,2.0
ESAFR,4.0
CTORO,3.0
EBOLV,12.0
EFILI,4.0
EPORT,5.0
ENZEL,3.0
EUNGR,5.0
CMEXI,0
ELUCI,0
CCOLO,0
CVALP,0
CCONC,0
