sede_id,pais_iso_3
ESURI,SUR
EALEM,DEU
EJAPO,JPN
CNYOR,USA
EANGO,AGO
ERICA,CRI
EECUA,ECU
ENORU,NOR
ELBNO,LBN
CBARC,ESP
CSIDN,AUS
EFILI,PHL
CGUAY,ECU
EIRLA,IRL
EPERU,PER
ERUNI,GRB
CMADR,ESP
CTENE,ESP
CFBEN,URY
EUNES,FRA
EMSUR,URY
CATLA,USA
CCEST,PRY
CLIMA,PER
ECANA,CAN
CMIAM,USA
ECUBA,CUB
EGUAT,GTM
CGMUM,IND
EFINL,FIN
EARGE,DZA
EESPA,ESP
ESAFR,ZAF
CTORO,CAN
ENZEL,NZL
CAREN,CHL
CCADI,ESP
CYACU,BOL
ELUCI,LCA
CVILL,BOL
EOIRS,CHE
CENCA,PRY
CSIGO,CHL
EBANG,BGD
EFRUS,RUS
ETRIN,TTO
EFRAN,FRA
EITAL,ITA
CMILA,ITA
EMARR,MAR
EBRAS,BRA
ESERB,SRB
EVENE,VEN
EVIET,VNM
ECHIN,CHN
EURUG,URY
CLOND,GRB
EARAB,SAU
EMFAO,ITA
CGEST,TUR
CGUAN,CHN
ENAUN,USA
CHAMB,DEU
REPAL,PSE
ECEUR,BEL
EDINA,DNK
ESING,SGP
ECOLO,COL
EJAMA,JAM
EBOLV,BOL
ETUNE,TUN
ETAIL,THA
CFRAN,DEU
CPMON,CHL
CSLTO,URY
EGUYA,GUY
OCCAT,CHN
DIGAC,ARG
CANTO,CHL
CBEIJ,CHN
CCURI,BRA
EEOEA,USA
CPCAR,MEX
ENICA,NIC
EPNMA,PAN
EPOLO,POL
EHAIT,HTI
EHILE,CHL
EIRAN,IRN
EQATR,QAT
EHOND,HND
EISIA,IDN
ELBIA,LBY
EPBAJ,NLD
EMEXI,MEX
CMEXI,MEX
CJOHA,ZAF
CMALL,ESP
CCOLO,URY
CGVAN,CAN
EEGIP,EGY
EINDI,IND
EKUWA,KWT
EMSIA,MYS
ESSED,VAT
ESALV,SLV
CURUG,BRA
EAZER,AZE
CCHIC,USA
EARME,ARM
ETRIA,AUT
EDOMI,DOM
EUNGR,HUN
CRIOJ,BRA
CASUN,PRY
CSBAH,BRA
ESENE,SEN
CBONN,DEU
CPAYS,URY
CMREA,CAN
CLANG,USA
CCOCH,BOL
EEARB,ARE
EKENY,KEN
EAUST,AUS
CPABL,BRA
EBARB,BRB
EEEUU,USA
EETIO,ETH
EGREC,GRC
EISRA,ISR
CRECI,BRA
EASIR,SYR
CGTEL,ISR
EBELG,BEL
CHOUS,USA
CGPAZ,BOL
CMALD,URY
CMDEO,URY
CROMA,ITA
CVALP,CHL
CCONC,CHL
EBULG,BGR
CVIGO,ESP
ERUMA,ROU
ECORE,KOR
ETURQ,TUR
ECHES,CZE
EPAKI,PAK
CSCRS,BOL
EMOZA,MOZ
ENIGE,NGA
CSHAN,CHN
ESUIZ,CHE
EPORT,PRT
CHONG,CHN
ESUEC,SWE
EUCRA,UKR
CFDIG,BRA
CBELO,BRA
CFLOR,BRA
CALEG,BRA
CTARI,BOL
EPARA,PRY
